pm10,temp,hum,wind_speed,rain,pressure,hour,day_of_week,is_weekend,label
6.44,20.98,62,5.13,6.77,1018,6,2,0,3.6
123.85,15.89,50,3.55,5.84,1006,22,2,0,86.7
8.26,20.65,10,6.23,0.0,1027,5,2,0,6.61
3.53,16.79,10,7.32,0.0,1011,21,0,0,2.82
5.4,21.55,46,4.36,0.0,1021,5,2,0,5.4
125.86,20.74,40,2.37,0.0,1003,14,0,0,125.86
12.98,24.34,36,2.45,3.24,1031,18,0,0,9.09
8.02,17.75,11,4.21,0.0,1020,22,1,0,8.02
11.29,29.18,64,1.23,0.0,1009,11,3,0,11.29
152.37,16.45,26,6.65,0.0,1005,22,2,0,121.9
15.43,21.5,39,5.1,0.0,1011,8,4,0,12.35
4.1,21.75,10,8.28,0.0,1012,19,0,0,3.28
7.08,28.31,59,6.38,7.71,1004,10,3,0,3.96
149.48,15.73,28,3.4,0.0,1026,17,6,1,149.48
10.71,20.85,23,0.0,0.0,1006,2,1,0,10.71
0.66,18.1,31,7.37,0.0,1027,8,5,1,0.53
7.43,21.81,63,0.0,0.0,1003,11,4,0,7.43
127.9,22.73,27,0.0,0.0,1013,8,5,1,127.9
7.71,23.24,23,2.11,0.0,1030,21,5,1,7.71
10.06,20.44,43,5.16,0.0,1023,7,5,1,8.05
12.9,30.19,33,1.1,9.74,1006,5,3,0,9.03
125.55,15.72,38,5.35,6.95,1013,15,5,1,70.31
13.94,24.24,34,5.32,0.0,1028,5,4,0,11.15
10.53,19.07,14,8.03,0.0,1029,19,6,1,8.42
11.11,27.01,35,5.98,6.62,1017,9,6,1,6.22
150.6,15.85,42,0.52,1.44,1012,18,3,0,105.42
10.35,23.42,10,3.05,0.0,1019,23,1,0,10.35
7.7,24.42,20,8.81,0.0,1011,15,3,0,6.16
9.6,23.66,41,0.77,0.0,1013,21,2,0,9.6
117.88,21.57,31,0.76,0.0,1026,20,4,0,117.88
9.35,26.43,28,7.29,0.0,1009,13,3,0,7.48
1.31,22.28,18,6.6,0.0,1020,3,3,0,1.05
12.19,24.23,29,2.18,0.0,1018,2,5,1,12.19
137.68,23.49,48,3.78,0.0,1025,6,4,0,137.68
13.85,22.07,10,5.73,0.0,1021,8,0,0,11.08
3.08,16.79,10,9.37,0.0,1027,6,2,0,2.47
7.88,21.57,49,4.54,0.0,1031,9,0,0,7.88
102.51,16.45,38,7.23,0.0,1004,0,3,0,82.01
5.72,20.29,41,0.0,0.0,1027,7,5,1,5.72
1.46,17.42,42,8.91,0.0,1010,14,1,0,1.16
11.75,25.5,37,6.52,8.18,1026,20,0,0,6.58
134.07,23.82,28,1.28,0.0,1020,5,3,0,134.07
12.43,19.12,10,0.0,0.0,1007,20,1,0,12.43
2.09,20.14,23,5.66,0.0,1024,2,0,0,1.67
6.56,30.11,68,2.07,0.0,1010,15,5,1,6.56
112.2,21.17,32,0.0,0.0,1011,20,1,0,112.2
10.64,23.6,13,6.14,0.0,1008,7,2,0,8.51
2.06,24.67,11,9.1,0.0,1030,18,0,0,1.65
6.84,28.34,54,2.67,5.52,1011,3,5,1,4.79
116.2,15.85,49,1.84,10.28,1011,3,0,0,81.34
8.19,21.98,11,4.34,3.61,1023,14,3,0,5.73
5.4,20.93,26,8.89,0.0,1012,13,0,0,4.32
3.65,23.07,35,0.9,2.71,1018,21,3,0,2.55
124.6,19.88,45,0.0,0.85,1013,10,1,0,87.22
13.85,25.77,15,2.39,0.0,1009,22,0,0,13.85
10.4,21.21,36,10.05,0.0,1033,3,3,0,8.32
7.83,23.01,29,3.36,0.0,1006,1,2,0,7.83
145.01,23.02,27,0.15,0.0,1027,9,5,1,145.01
13.65,24.92,38,1.64,10.91,1005,10,3,0,9.55
0.69,18.15,18,9.97,0.0,1011,22,5,1,0.55
5.29,22.56,30,0.0,0.0,1017,0,3,0,5.29
148.24,22.59,38,1.04,0.0,1026,21,5,1,148.24
8.95,20.21,29,3.09,0.0,1024,2,1,0,8.95
1.79,22.23,30,10.63,0.0,1033,16,0,0,1.43
10.38,22.73,34,3.05,0.73,1011,23,4,0,7.26
132.3,17.91,24,6.68,0.0,1005,2,0,0,105.84
6.71,26.78,15,3.3,0.0,1010,12,1,0,6.71
2.46,24.15,41,8.64,0.0,1024,5,3,0,1.96
11.69,23.74,58,1.18,7.21,1014,4,5,1,8.18
117.26,21.64,27,2.13,0.0,1027,22,4,0,117.26
8.9,27.73,41,5.16,0.0,1025,2,0,0,7.12
8.23,16.54,28,10.29,0.0,1022,11,3,0,6.58
6.07,29.32,66,0.0,0.0,1011,15,2,0,6.07
139.92,23.93,32,5.48,1.81,998,4,5,1,78.36
12.28,27.68,22,0.0,0.0,1023,5,0,0,12.28
6.32,18.49,11,10.48,0.0,1021,7,5,1,5.05
8.12,26.3,41,3.59,0.0,1005,22,2,0,8.12
136.54,24.83,27,3.8,0.0,1017,12,3,0,136.54
7.8,19.66,10,2.75,0.0,1020,12,6,1,7.8
2.47,24.41,19,8.53,4.19,1006,23,2,0,1.38
10.64,28.59,60,0.0,4.2,1025,2,1,0,7.45
152.55,17.27,35,7.45,0.0,1003,16,3,0,122.04
6.02,22.12,16,0.38,0.0,1010,18,6,1,6.02
4.95,17.67,32,5.86,0.0,1018,7,1,0,3.96
3.86,24.84,37,3.56,0.0,1021,1,3,0,3.86
147.33,18.69,29,1.22,10.31,1009,22,2,0,103.13
13.18,26.34,25,2.03,0.0,1007,2,1,0,13.18
3.39,20.87,32,10.35,0.0,1008,10,4,0,2.71
6.98,27.73,68,0.92,0.0,1017,17,4,0,6.98
115.58,25.18,36,2.73,0.0,1016,13,0,0,115.58
13.8,26.34,10,0.92,0.0,1029,1,6,1,13.8
3.91,20.51,20,6.83,0.0,1026,23,0,0,3.13
10.97,24.18,62,0.0,0.0,1019,6,3,0,10.97
109.5,16.35,58,5.04,0.0,1021,22,1,0,87.6
15.57,25.7,14,6.17,6.88,1017,1,4,0,8.72
7.47,21.33,26,10.19,0.0,1023,7,0,0,5.98
8.12,26.07,43,2.76,0.0,1012,17,6,1,8.12
108.74,17.02,41,2.68,8.25,1025,22,4,0,76.12
10.07,26.43,25,3.0,1.39,1018,15,1,0,7.05
9.63,23.1,22,7.62,0.0,1019,13,6,1,7.7
9.52,25.08,33,0.0,0.0,1024,22,6,1,9.52
145.12,23.95,25,3.93,0.0,1001,1,6,1,145.12
9.42,18.24,36,2.1,0.0,1007,13,5,1,9.42
8.57,23.83,37,6.58,0.0,1032,7,1,0,6.85
4.41,24.62,47,0.82,1.82,1009,5,3,0,3.09
131.32,16.52,41,1.88,0.0,1016,10,5,1,131.32
14.96,26.13,42,4.37,0.0,1031,23,0,0,14.96
8.15,25.02,44,6.29,0.0,1029,0,6,1,6.52
9.51,21.68,55,0.24,0.0,1006,0,0,0,9.51
151.27,24.28,47,6.49,0.0,997,9,0,0,121.02
8.27,24.08,31,0.0,0.0,1035,19,0,0,8.27
5.53,20.42,43,8.6,0.0,1029,3,5,1,4.43
10.55,27.87,28,5.9,0.0,1027,2,6,1,8.44
155.83,22.8,34,5.83,1.34,1011,21,4,0,87.27
12.67,27.49,43,2.96,0.0,1027,2,2,0,12.67
9.84,25.59,24,9.61,0.0,1025,2,5,1,7.87
4.64,27.82,63,1.6,4.4,1029,16,5,1,3.25
136.7,17.41,53,5.81,0.0,1015,6,3,0,109.36
14.76,27.87,41,6.06,0.0,1014,20,2,0,11.81
5.47,20.84,30,3.93,0.0,1029,15,3,0,5.47
8.96,28.81,64,0.17,0.0,1027,0,2,0,8.96
113.56,24.86,26,2.33,10.49,1007,6,3,0,79.49
12.92,25.33,10,5.87,0.0,1014,19,5,1,10.34
2.08,23.64,46,4.73,0.0,1012,16,6,1,2.08
5.29,24.52,49,0.62,0.0,1002,15,4,0,5.29
157.54,24.62,31,5.33,0.0,1009,6,4,0,126.03
9.49,18.28,29,7.01,0.0,1029,14,1,0,7.59
9.13,22.63,22,6.22,0.0,1007,17,6,1,7.3
6.37,28.4,68,1.15,0.0,1015,9,3,0,6.37
108.03,22.43,26,0.67,6.96,1015,1,0,0,75.62
8.85,21.3,22,2.35,0.0,1005,15,3,0,8.85
3.63,24.63,19,4.89,0.0,1028,16,6,1,3.63
11.98,23.72,54,4.54,0.0,1029,12,4,0,11.98
104.91,18.63,61,0.3,10.7,1024,1,3,0,73.44
14.49,27.45,16,4.15,0.0,1035,4,4,0,14.49
6.06,24.8,45,4.58,0.0,1003,0,2,0,6.06
3.99,21.89,64,0.0,0.0,1022,7,0,0,3.99
109.11,21.04,31,0.96,0.0,1003,17,6,1,109.11
13.85,18.12,21,5.73,0.0,1010,14,3,0,11.08
8.04,18.56,16,4.64,0.0,1010,7,3,0,8.04
11.18,30.79,28,4.37,0.0,1009,15,6,1,11.18
115.31,17.1,43,2.48,7.82,1018,3,3,0,80.72
9.52,23.59,25,5.09,0.0,1005,11,3,0,7.62
5.7,19.23,13,8.78,0.0,1005,9,5,1,4.56
10.34,22.7,60,4.62,0.0,1028,1,2,0,10.34
126.34,20.96,25,5.99,0.0,1007,11,2,0,101.07
14.24,22.38,36,4.57,5.6,1033,15,0,0,9.97
10.27,19.13,43,6.43,6.19,1017,13,0,0,5.75
11.79,24.99,49,4.65,3.84,1008,15,0,0,8.25
130.84,15.84,51,0.95,0.0,1003,14,2,0,130.84
8.42,25.73,21,0.0,0.0,1011,22,3,0,8.42
5.88,22.78,24,8.73,0.0,1021,14,3,0,4.7
7.56,24.27,41,0.0,0.0,1013,9,1,0,7.56
145.2,25.37,39,1.9,7.03,1025,1,0,0,101.64
14.33,22.93,43,2.41,4.7,1014,8,4,0,10.03
6.07,20.4,21,5.78,0.0,1007,7,6,1,4.85
5.62,30.42,44,4.04,0.0,1014,2,4,0,5.62
119.35,21.93,36,4.28,0.0,1016,3,4,0,119.35
14.28,23.65,41,1.25,10.43,1031,7,6,1,10.0
0.88,19.0,44,6.22,0.0,1029,11,6,1,0.71
5.12,21.83,64,0.41,4.84,1023,8,4,0,3.59
136.87,19.98,47,0.39,0.0,1005,12,5,1,136.87
6.43,23.64,13,4.19,2.5,1020,16,2,0,4.5
10.35,22.77,33,7.95,0.0,1016,22,4,0,8.28
6.87,26.9,28,0.0,0.0,1027,7,3,0,6.87
107.2,19.47,43,3.91,0.0,1024,0,1,0,107.2
14.02,20.22,41,0.0,0.0,1009,6,3,0,14.02
5.15,24.63,30,10.84,0.0,1004,8,2,0,4.12
7.29,25.64,52,2.91,0.0,1016,6,6,1,7.29
155.51,16.5,41,4.95,0.0,1005,2,4,0,155.51
12.81,23.88,30,6.22,10.05,1024,21,4,0,7.17
7.93,24.01,36,7.86,0.0,1033,9,2,0,6.34
7.34,24.83,34,5.79,0.0,1017,20,1,0,5.87
139.6,25.35,42,3.07,0.0,1003,7,5,1,139.6
10.82,18.71,40,5.02,0.0,1032,13,6,1,8.66
6.11,15.74,15,8.68,0.0,1003,11,1,0,4.89
3.41,25.59,44,0.9,0.0,1009,6,2,0,3.41
156.91,23.76,45,0.02,7.06,1023,3,0,0,109.84
13.59,22.55,37,0.03,8.62,1012,1,3,0,9.51
10.41,24.39,40,10.82,5.1,1029,22,5,1,5.83
8.56,25.15,47,3.39,0.0,1006,17,0,0,8.56
100.14,17.8,59,5.27,0.0,1004,15,4,0,80.11
12.75,22.12,36,5.94,9.22,1012,2,2,0,7.14
7.13,23.5,10,10.65,0.0,1016,3,2,0,5.7
8.68,24.41,55,3.36,0.0,1026,8,2,0,8.68
156.6,23.91,29,3.64,0.0,1018,20,0,0,156.6
14.72,23.47,18,5.03,0.0,1033,22,5,1,11.77
5.26,25.13,20,10.13,0.0,1015,21,3,0,4.21
9.69,27.73,36,0.61,0.0,1026,18,3,0,9.69
120.12,22.94,26,1.97,0.0,1023,9,3,0,120.12
13.98,20.42,12,4.3,0.0,1019,3,2,0,13.98
7.15,16.97,37,5.83,0.0,1003,23,3,0,5.72
7.63,28.87,47,1.92,0.0,1017,23,0,0,7.63
144.7,24.64,53,6.96,0.0,1016,4,0,0,115.76
14.97,21.31,16,1.78,6.98,1013,4,5,1,10.48
6.82,25.16,36,3.64,0.58,1022,8,1,0,4.77
11.13,26.02,53,0.64,0.0,1008,22,3,0,11.13
157.43,21.89,31,0.73,6.86,1022,18,3,0,110.2
5.9,19.48,16,6.2,0.0,1015,23,6,1,4.72
9.02,21.94,29,6.47,0.0,1006,0,6,1,7.21
12.0,22.98,52,0.96,0.0,1021,11,2,0,12.0
110.3,15.5,34,0.43,0.0,1011,5,0,0,110.3
5.8,27.35,16,2.01,2.31,1026,6,1,0,4.06
8.71,25.6,12,10.47,0.0,1021,0,5,1,6.97
5.66,25.25,51,5.1,0.0,1003,7,0,0,4.53
147.65,16.45,48,0.0,1.57,1017,19,0,0,103.36
10.43,23.93,10,0.0,0.0,1035,4,3,0,10.43
9.06,22.17,10,8.98,0.0,1030,6,0,0,7.24
8.38,23.51,65,2.87,0.0,1004,7,0,0,8.38
156.51,18.52,56,3.4,0.0,1019,16,2,0,156.51
14.71,27.69,30,3.43,0.0,1033,14,5,1,14.71
1.5,23.77,27,8.89,0.0,1021,6,1,0,1.2
7.47,26.12,34,0.04,0.0,1015,1,4,0,7.47
133.22,16.45,46,0.51,0.0,1017,8,6,1,133.22
8.91,26.6,18,3.19,0.0,1010,13,2,0,8.91
0.99,20.33,37,6.97,0.0,1008,8,4,0,0.8
9.05,24.22,28,5.87,6.82,1020,11,0,0,5.07
117.99,21.72,29,0.0,0.0,997,20,0,0,117.99
7.6,18.29,36,3.25,0.0,1005,18,1,0,7.6
4.71,25.08,20,8.2,0.0,1019,3,4,0,3.76
8.74,26.02,29,6.33,0.0,1013,14,0,0,7.0
151.02,22.45,30,7.08,0.0,997,11,2,0,120.82
14.82,18.77,11,0.59,0.72,1015,21,3,0,10.38
4.54,19.22,35,7.7,0.0,1032,6,1,0,3.63
6.87,28.93,55,2.33,0.0,1030,0,1,0,6.87
148.68,22.09,44,2.48,0.0,1018,22,1,0,148.68
5.8,25.5,13,0.55,0.0,1012,23,0,0,5.8
7.05,19.59,34,8.31,0.0,1008,22,0,0,5.64
4.46,25.74,44,1.47,0.0,1004,20,6,1,4.46
101.25,21.89,33,3.73,0.0,1019,7,3,0,101.25
12.77,22.75,25,1.95,3.63,1026,19,3,0,8.94
5.64,18.93,10,10.45,0.0,1031,10,2,0,4.52
12.88,28.71,45,0.66,0.0,1014,18,4,0,12.88
106.17,23.93,39,1.97,0.0,1007,20,6,1,106.17
8.93,19.12,26,0.13,6.74,1008,11,4,0,6.25
9.92,16.95,37,3.18,0.0,1030,13,1,0,9.92
4.54,27.58,46,3.83,7.5,1020,1,6,1,3.18
115.1,22.28,46,1.66,0.0,999,21,1,0,115.1
8.37,20.89,38,4.14,0.0,1029,19,4,0,8.37
10.41,17.34,34,3.25,0.0,1003,14,2,0,10.41
5.54,28.37,54,1.33,5.8,1024,19,0,0,3.88
105.77,23.9,31,2.21,0.0,998,3,2,0,105.77
7.89,19.42,24,0.92,0.0,1006,21,2,0,7.89
